mcc,familia,descripcion,referencia
3531,Hoteles,D KAUAI COCONUT BEACH RESORT,D KAUAI COCONUT BEACH RESORT
3531,Hoteles,D KAUAI COCONUT BEACH RESORT,D KAUAI COCONUT BEACH RESORT
3532,Hoteles,D ROYAL KONA RESORT,D ROYAL KONA RESORT
3533,Hoteles,HOTEL IBIS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3534,Hoteles,SOUTHERN PACIFIC HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3535,Hoteles,HILTON INTERNATIONAL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3536,Hoteles,AMFAC HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3537,Hoteles,ANA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3538,Hoteles,CONCORDE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3539,Hoteles,SUMMERFIELDS SUITES HOTELS,SUMMERFIELDS SUITES HOTELS
3540,Hoteles,IBEROTEL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3541,Hoteles,HOTEL OKURA,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3542,Hoteles,ROYAL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3543,Hoteles,FOUR SEASONS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3544,Hoteles,CIGA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3545,Hoteles,SHANGRI-LA INTERNATIONAL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3546,Hoteles,SIERRA SUITES HOTELS,SIERRA SUITES HOTELS
3548,Hoteles,HOTELS MELIA,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3549,Hoteles,AUBERGE DES GOVERNEURES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3550,Hoteles,REGAL 8 INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3551,Hoteles,MIRAGE HOTEL AND CASINO,MIRAGE HOTEL AND CASINO
3552,Hoteles,COAST HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3553,Hoteles,PARK INNS INTERNATIONAL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3554,Hoteles,D PINEHURST RESORT,D PINEHURST RESORT
3555,Hoteles,TREASURE ISLAND HOTEL AND CASINO,TREASURE ISLAND HOTEL AND CASINO
3556,Hoteles,D BARTON CREEK RESORT,D BARTON CREEK RESORT
3557,Hoteles,* D MANHATTAN EAST SUITE HOTEL,* D MANHATTAN EAST SUITE HOTEL
3558,Hoteles,JOLLY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3561,Hoteles,GOLDEN NUGGET,GOLDEN NUGGET
3562,Hoteles,COMFORT INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3563,Hoteles,JOURNEY S END MOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3564,Hoteles,SAM’S TOWN HOTEL AND CASINO,SAM’S TOWN HOTEL AND CASINO
3565,Hoteles,RELAX INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3566,Hoteles,* D GARDEN PLACE HOTEL,* D GARDEN PLACE HOTEL
3567,Hoteles,* D SOHO GRAND HOTEL,* D SOHO GRAND HOTEL
3568,Hoteles,LADBROKE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3569,Hoteles,* D TRIBECA GRAND HOTEL,* D TRIBECA GRAND HOTEL
3570,Hoteles,FORUM HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3571,Hoteles,* D GRAND WAILEA RESORT,* D GRAND WAILEA RESORT
3572,Hoteles,MIYAKO HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3573,Hoteles,SANDMAN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3574,Hoteles,VENTURE INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3575,Hoteles,VAGABOND HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3576,Hoteles,* D LA QUINTA RESORT,* D LA QUINTA RESORT
3577,Hoteles,MANDARIN ORIENTAL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3578,Hoteles,* D FRANKENMUTH BAVARIAN,* D FRANKENMUTH BAVARIAN
3579,Hoteles,HOTEL MERCURE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3580,Hoteles,* D HOTEL DEL CORONADO,* D HOTEL DEL CORONADO
3581,Hoteles,DELTA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3582,Hoteles,CALIFORNIA HOTEL AND CASINO,CALIFORNIA HOTEL AND CASINO
3583,Hoteles,SAS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3584,Hoteles,PRINCESS HOTELS INTENATIONAL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3585,Hoteles,HUNGAR HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3586,Hoteles,SOKOS HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3587,Hoteles,DORAL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3588,Hoteles,HELMSLEY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3589,Hoteles,* D DORAL GOLF RESORT,* D DORAL GOLF RESORT
3590,Hoteles,FAIRMONT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3591,Hoteles,SONESTA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3592,Hoteles,OMNI HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3593,Hoteles,CUNARD HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3594,Hoteles,* D ARIZONA BILTMORE,* D ARIZONA BILTMORE
3595,Hoteles,HOSPITALITY INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3596,Hoteles,* D WYNN LAS VEGAS,* D WYNN LAS VEGAS
3597,Hoteles,* D RIVERSIDE RESORT HOTEL AND CASINO,* D RIVERSIDE RESORT HOTEL AND CASINO
3598,Hoteles,REGENT INTERNATIONAL HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3599,Hoteles,PANNONIA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3603,Hoteles,NOAH S HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3612,Hoteles,MOVENPICK HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3615,Hoteles,TRAVELODGE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3620,Hoteles,BINION’S HORSESHOE CLUB,BINION’S HORSESHOE CLUB
3622,Hoteles,MERLIN HOTEL GROUP,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3623,Hoteles,DORINT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3624,Hoteles,LADY LUCK HOTEL AND CASINO,LADY LUCK HOTEL AND CASINO
3625,Hoteles,HOTEL UNIVERSALE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3628,Hoteles,EXCALIBUR HOTEL AND CASINO,EXCALIBUR HOTEL AND CASINO
3629,Hoteles,DAN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3631,Hoteles,SLEEP INN,SLEEP INN
3632,Hoteles,THE PHOENICIAN,THE PHOENICIAN
3633,Hoteles,RANK HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3634,Hoteles,SWISSOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3635,Hoteles,RESO HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3636,Hoteles,SAROVA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3637,Hoteles,RAMADA INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3638,Hoteles,"HOWARD JOHNSON INN, (HOWARD JOHNSON)","Alojamiento De H -- Hoteles, Moteles, Recursos"
3639,Hoteles,MOUNT CHARLOTTE THISTLE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3640,Hoteles,HYATT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3641,Hoteles,SOFITEL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3642,Hoteles,NOVOTEL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3643,Hoteles,STEIGENBERGER HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3644,Hoteles,ECONOLODGES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3645,Hoteles,QUEENS MOAT HOUSES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3646,Hoteles,SWALLOW HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3647,Hoteles,HUSA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3648,Hoteles,DE VERA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3649,Hoteles,RADISSON HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3650,Hoteles,RED ROOF INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3651,Hoteles,IMPERIAL LONDON HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3652,Hoteles,EMBASSY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3653,Hoteles,PENTA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3654,Hoteles,LOEWS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3655,Hoteles,SCANDIC HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3656,Hoteles,SARA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3657,Hoteles,OBEROI HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3658,Hoteles,OTANI HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3659,Hoteles,TAJ HOTELS INTERNATIONAL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3660,Hoteles,KNIGHTS INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3661,Hoteles,METROPOLE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3662,Hoteles,CIRCUS CIRCUS HOTEL AND CASINO,CIRCUS CIRCUS HOTEL AND CASINO
3663,Hoteles,HOTELES EL PRESIDENTE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3664,Hoteles,FLAG INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3665,Hoteles,HAMPTON INN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3666,Hoteles,STAKIS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3667,Hoteles,LUXOR HOTEL AND CASINO,LUXOR HOTEL AND CASINO
3668,Hoteles,MARITIM HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3669,Hoteles,ELDORADO HOTEL AND CASINO,ELDORADO HOTEL AND CASINO
3670,Hoteles,ARCADE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3671,Hoteles,ARCTIA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3672,Hoteles,CAMPANITE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3673,Hoteles,IBUSZ HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3674,Hoteles,RANTASIPI HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3675,Hoteles,INTERHOTEL CEDOK,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3676,Hoteles,MONTE CARLO HOTEL AND CASINO,MONTE CARLO HOTEL AND CASINO
3677,Hoteles,CLIMAT DE FRANCE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3678,Hoteles,CUMULUS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3679,Hoteles,SILVER LEGACY HOTEL AND CASINO,SILVER LEGACY HOTEL AND CASINO
3680,Hoteles,HOTEIS OTHAN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3681,Hoteles,ADAMS MARK HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3682,Hoteles,SAJARA HOTEL AND CASINO,SAJARA HOTEL AND CASINO
3683,Hoteles,BRADBURY SUOTES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3684,Hoteles,BUDGET HOSTS INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3685,Hoteles,BUDGETEL INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3686,Hoteles,SUSSE CHALET,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3687,Hoteles,CLARION HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3688,Hoteles,COMPRI HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3689,Hoteles,CONSORT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3690,Hoteles,COURTYARD INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3691,Hoteles,DILLON INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3692,Hoteles,DOUBLETREE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3693,Hoteles,DRURY INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3694,Hoteles,ECONOMY INNS OF AMERICA,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3695,Hoteles,EMBASSY SUITES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3696,Hoteles,EXCEL INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3697,Hoteles,FAIRFIELD HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3698,Hoteles,HARLEY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3699,Hoteles,MIDWAY MOTOR LODGE,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3700,Hoteles,MOTEL 6,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3701,Hoteles,LA MANSION DEL RIO,LA MANSION DEL RIO
3702,Hoteles,THE REGISTRY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3703,Hoteles,RESIDENCE INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3704,Hoteles,ROYCE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3705,Hoteles,SANDMAN INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3706,Hoteles,SHITO INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3707,Hoteles,SHONEY S INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3708,Hoteles,VIRGIN RIVER HOTEL AND CASINO,VIRGIN RIVER HOTEL AND CASINO
3709,Hoteles,SUPER 8 MOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3710,Hoteles,"RITZ CARLTON, THE","Alojamiento De H -- Hoteles, Moteles, Recursos"
3711,Hoteles,FLAG INNS (AUSTRALIA),"Alojamiento De H -- Hoteles, Moteles, Recursos"
3712,Hoteles,BUFFALO BILL’S HOTEL AND CASINO,BUFFALO BILL’S HOTEL AND CASINO
3713,Hoteles,QUALITY PACIFIC HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3714,Hoteles,FOUR SEASONS (AUSTRALIA) HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3715,Hoteles,FAIRFIELD INN,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3716,Hoteles,CARLTON HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3717,Hoteles,CITY LODGE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3718,Hoteles,KAROS HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3719,Hoteles,PROTEA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3720,Hoteles,SOUTHERN SUN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3721,Hoteles,CONRAD HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3722,Hoteles,WYNDHAM HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3723,Hoteles,RICA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3724,Hoteles,INTER NOR HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3725,Hoteles,SEAPINES PLANTATION,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3726,Hoteles,RIO SUITES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3727,Hoteles,BROADMOOR HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3728,Hoteles,BALLYS HOTEL AND CASINO,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3729,Hoteles,JOHN ASCUAGAS NUGGET,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3730,Hoteles,MGM GRAND HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3731,Hoteles,HARRAHS HOTELS AND CASINOS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3732,Hoteles,OPRYLAND HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3733,Hoteles,BOCA RATON RESORT,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3734,Hoteles,HARVEY BRISTOL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3735,Hoteles,MASTERS ECONOMY INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3736,Hoteles,COLORADO BELLE EDGEWATER RESORT,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3737,Hoteles,RIVIERA HOTEL AND CASINO,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3738,Hoteles,TROPICANA RESORT AND CASINO,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3739,Hoteles,WOODSIDE HOTELS AND RESORTS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3740,Hoteles,MARRIOTT / TOWN PLACE SUITES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3741,Hoteles,MILLENNIUM BROADWAY HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3742,Hoteles,CLUB MED,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3743,Hoteles,BILTMORE HOTEL AND SUITES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3744,Hoteles,CAREFREE RESORTS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3745,Hoteles,SAINT REGIS HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3746,Hoteles,ELIOT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3747,Hoteles,CLUB CORP/CLUB RESORTS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3748,Hoteles,WELLESLEY INNS,WELLESLEY INNS
3749,Hoteles,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL
3750,Hoteles,CROWNE PLAZA HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3750,Hoteles,CROWNE PLAZA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3751,Hoteles,HOMEWOOD SUITES,HOMEWOOD SUITES
3752,Hoteles,PEABODY HOTELS,PEABODY HOTELS
3753,Hoteles,GREENBRIAR RESORTS,GREENBRIAR RESORTS
3754,Hoteles,AMELIA ISLAND PLANTATION,AMELIA ISLAND PLANTATION
3755,Hoteles,THE HOMESTEAD,THE HOMESTEAD
3756,Hoteles,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS
3757,Hoteles,CANYON RANCH,CANYON RANCH
3758,Hoteles,KAHALA MANDARIN ORIENTAL HOTEL,KAHALA MANDARIN ORIENTAL HOTEL
3759,Hoteles,THE ORCHID AT MAUNA LANI,THE ORCHID AT MAUNA LANI
3760,Hoteles,HALEKULANI HOTEL/WAIKIKI PARC,HALEKULANI HOTEL/WAIKIKI PARC
3761,Hoteles,PRIMADONNA HOTEL AND CASINO,PRIMADONNA HOTEL AND CASINO
3762,Hoteles,WHISKEY PETE’S HOTEL AND CASINO,WHISKEY PETE’S HOTEL AND CASINO
3763,Hoteles,CHATEAU ELAN WINERY AND RESORT,CHATEAU ELAN WINERY AND RESORT
3764,Hoteles,BEAU RIVAGE HOTEL AND CASINO,BEAU RIVAGE HOTEL AND CASINO
3765,Hoteles,BELLAGIO,BELLAGIO
3766,Hoteles,FREMONT HOTEL AND CASINO,FREMONT HOTEL AND CASINO
3767,Hoteles,MAIN STREET STATION HOTEL AND CASINO,MAIN STREET STATION HOTEL AND CASINO
3768,Hoteles,SILVER STAR HOTEL AND CASINO,SILVER STAR HOTEL AND CASINO
3769,Hoteles,STRATOSPHERE HOTEL AND CASINO,STRATOSPHERE HOTEL AND CASINO
3770,Hoteles,SPRINGHILL SUITES,SPRINGHILL SUITES
3771,Hoteles,CAESAR’S HOTEL AND CASINO,CAESAR’S HOTEL AND CASINO
3772,Hoteles,NEMACOLIN WOODLANDS,NEMACOLIN WOODLANDS
3773,Hoteles,THE VENETIAN RESORT HOTEL CASINO,THE VENETIAN RESORT HOTEL CASINO
3774,Hoteles,NEW YORK-NEW YORK HOTEL +CASINO,NEW YORK-NEW YORK HOTEL +CASINO
3775,Hoteles,SAND’S RESORT,SAND’S RESORT
3776,Hoteles,NEVELE GRAND RESORT AND COUNTRY CLUB,NEVELE GRAND RESORT AND COUNTRY CLUB
3777,Hoteles,MANDALAY BAY RESORT,MANDALAY BAY RESORT
3778,Hoteles,FOUR POINTS HOTELS,FOUR POINTS HOTELS
3779,Hoteles,W HOTELS,W HOTELS
3780,Hoteles,D DISNEY RESORTS,D DISNEY RESORTS
3781,Hoteles,PATRICIA GRAND RESORT HOTELS,PATRICIA GRAND RESORT HOTELS
3782,Hoteles,ROSEN HOTELS AND RESORTS,ROSEN HOTELS AND RESORTS
3783,Hoteles,TOWN AND COUNTRY RESORT & CONVENTION CENTER,TOWN AND COUNTRY RESORT & CONVENTION CENTER
3784,Hoteles,FIRST HOSPITALITY HOTELS,FIRST HOSPITALITY HOTELS
3785,Hoteles,OUTRIGGER HOTELS AND RESORTS,OUTRIGGER HOTELS AND RESORTS
3786,Hoteles,OHANA HOTELS OF HAWAII,OHANA HOTELS OF HAWAII
3787,Hoteles,CARIBE ROYAL RESORTS,CARIBE ROYAL RESORTS
3788,Hoteles,ALA MOANA HOTEL,ALA MOANA HOTEL
3789,Hoteles,SMUGGLER’S NOTCH RESORT,SMUGGLER’S NOTCH RESORT
3790,Hoteles,RAFFLES HOTELS,RAFFLES HOTELS
3791,Hoteles,STAYBRIDGE SUITES,STAYBRIDGE SUITES
3792,Hoteles,CLARIDGE CASINO HOTEL,CLARIDGE CASINO HOTEL
3793,Hoteles,D FLAMINGO HOTELS,D FLAMINGO HOTELS
3794,Hoteles,GRAND CASINO HOTELS,GRAND CASINO HOTELS
3795,Hoteles,PARIS LAS VEGAS HOTEL,PARIS LAS VEGAS HOTEL
3796,Hoteles,D PEPPERMILL HOTEL CASINO,D PEPPERMILL HOTEL CASINO
3797,Hoteles,D ATLANTIC CITY HILTON RESORTS,D ATLANTIC CITY HILTON RESORTS
3798,Hoteles,D EMBASSY VACATION RESORT,D EMBASSY VACATION RESORT
3799,Hoteles,D HALE KOA HOTEL,D HALE KOA HOTEL
3802,Hoteles,THE PALACE HOTEL,"Alojamiento De H -- Hoteles, Moteles, Recursos"
4011,Transporte Terrestre de Pasajeros,FERROCARRILES,"Ferrocarriles contratados a operaciones de transporte de la carga. Para los ferrocarriles que proporcionan el transporte del pasajero, uso MCC 4112. Transporte"
4111,Otros,"TRANSBORDADORES, (TRANSPORTE LOCAL), (TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS, INCLUYENDO TRANSBORDADORES )","Abastecedores de las rutas regulares del pasajero del excedente total local y suburbano del transporte y en horario regulares, incluyendo el transporte ferroviario del viajero. Para los taxis y los limousines, utilice MCC 4121; para las lineas del autobus, utilice MCC 4131. Transporte"
4112,Transporte Terrestre de Pasajeros,FERROCARRIL DE PASAJEROS,"Ferrocarriles que proporcionan sobre todo el transporte interurbano del pasajero. Tales ferrocarriles pueden o pueden no incluir comodidades de noche en el tren durante recorrido interurbano. Para los ferrocarriles que transportan la carga, uso MCC 4011. Transporte"
4119,Otros,SERVICIOS DE AMBULANCIA,Servicios del transporte de la emergencia con el personal entrenado que puede o puede no proporcionar el tratamiento medico de la emergencia en el camino a un hospital o a un abastecedor medico. Transporte
4121,Transporte Terrestre de Pasajeros,"LIMOSINAS, (TAXIS)",Servicios del transporte del automovil del pasajero que no funcione encendido un horario regular o una ruta establecida. Transporte
4131,Transporte Terrestre de Pasajeros,AUTOBUSES FORANEOS,"Los servicios del transporte del autobus del pasajero que funcionan encendido un excedente regular del horario predeterminaron las rutas. Para los operadores del autobus de la carta y del viaje, utilice MCC 4722. Transporte"
4214,Otros,"COMPAÑIAS DE - MUDANZAS Y ALMACENAJE , (FLETES – MAQUINARIA PESADA), (CONTENEDORES DE CARGA LOCAL Y FORANEOS), (ENTREGA DE PAQUETERIA - LOCAL), (FLETE","Servicios locales o interurbanos el acarrear que pueden o pueden tambien no proporcionar servicios del almacenaje. Para el almacenamiento de las mercancias de casa y almacenaje sin los servicios el acarrear, utilice MCC 4225. Para los mensajeros de paquetes, las mercancias, y los paquetes, utilizan MCC 4215. Transporte"
4215,Otros,"TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)","Comerciantes que entregan cartas, paquetes y los paquetes individualmente tratados (excepto los E.E.U.U.. Servicio Postal -- MCC 9402). Para los comerciantes que proporcionan la entrega el acarrear de la carga, uso MCC 4214. Transporte"
4225,Otros,"ALMACENES, DEPOSITOS, (BODEGAS)","Abastecedores del almacenaje y del almacenamiento para los productos de la granja, el almacenaje refrigerado para los productos perecederos, y el almacenaje para las mercancias y los muebles de casa. Para los comerciantes que proporcionan el almacenaje local y los servicios el acarrear, uso MCC 4214. Transporte"
4411,Entretenimiento,"LINEAS DE CRUCEROS, (BARCOS DE VAPOR)","Comerciantes que proporcionan el transporte del pasajero en los mares abiertos o las aguas de tierra adentro con el fin de vacaciones o de placer. Tales comerciantes ofrecen tipicamente el alimento, la hospitalidad, y las comodidades de la cabina inclusivas en el precio, y funcionan las rutas predefinidas y anunciacioces. Para la compra antes del embarco de los boletos para las comodidades de la nave de travesia, utilice un TCC de las transacciones de X. For que originan en las localizaciones mercantil a bordo de la nave, por ejemplo, un almacen de ropa, una tienda de regalos, o un florist, utilizan un TCC de H. Transporte"
4457,Otros,"RENTA/ARRENDAMIENTO - YATES Y LANCHAS, (RENTA - YATES, LANCHAS)","Comerciantes que proporcionan sobre todo servicios del alquiler y del alquiler con opcion a compra del barco, incluyendo los barcos de pesca, los houseboats del no-equipo, los barcos de la vela, los powerboats, los esquis del jet, y los yates. Transporte"
4468,Otros,SERVICIO/ACCESORIOS – MARITIMOS,"Operadores de marinas. Los servicios proporcionados pueden incluir el alquiler del resbalon del barco, el almacenaje del barco, la limpieza del barco, la reparacion fortuita del barco, y la venta al por menor de fuentes marinas. Este MCC incluye a comerciantes situados en un marina que venden la gasolina para el uso del consumidor en barcos, y que no tienen un acuerdo mercantil separado de el del marina. Para los comerciantes de la estacion de gasolina situados en un marina que tienen un acuerdo mercantil separado de el del marina, uso MCC 5541. Transporte"
4511,Transporte Aéreo,"OTRAS LINEAS AEREAS -FLETES AEREOS- NO CLASIFICADAS, (CARGA AEREA, LINEAS AEREAS - NO CLASIFICADOS)",Solamente esas lineas aereas para los cuales un MCC unico no se ha senalado. Transporte
